ClassUtil,Statement_Coverage,Branch_Coverage,CC,LOC,,,Mutation_Score
WebContainerCallbackHandler,0.88,0.83,5,12,WebContainerCallbackHandler.java,0.92,1
WebContainerLoginModule,0.48,0.57,10,31,WebContainerLoginModule.java,0.65,0.75
WikiCallbackHandler,0.79,0.75,8,20,WikiCallbackHandler.java,0.85,0.83
AllPermission,0.87,0.76,23,27,AllPermission.java,0.78,0.87
AllPermissionCollection,0.88,0.75,12,26,AllPermissionCollection.java,0.88,0.83
GroupPermission,0.5,0.33,45,81,GroupPermission.java,0.47,0.46
PagePermission,0.92,0.81,54,101,PagePermission.java,0.92,0.95
PermissionFactory,1,1,6,14,PermissionFactory.java,0.93,1
WikiPermission,0.92,0.84,30,53,WikiPermission.java,0.94,0.98
AbstractUserDatabase,0.72,0.59,27,84,AbstractUserDatabase.java,0.75,0.78
JDBCUserDatabase,0.86,0.61,42,257,JDBCUserDatabase.java,0.89,0.94
XMLUserDatabase,0.79,0.74,78,310,XMLUserDatabase.java,0.83,0.93
ContextualDiffProvider,0.96,1,10,62,ContextualDiffProvider.java,0.9,0.69
ContextualDiffProvider.ChangeMerger,0.82,0.65,40,107,DiffProvider.java,0,0
DifferenceManager,0.56,0.5,7,38,DifferenceManager.java,0.55,1
ExternalDiffProvider,0,0,16,56,ExternalDiffProvider.java,0,0
TraditionalDiffProvider,0.86,0.5,7,21,TraditionalDiffProvider.java,0.85,0.73
PageEventFilter,0,0,11,20,PageEventFilter.java,0,0
WikiEngineEvent,0.41,0.22,19,22,WikiEngineEvent.java,0.32,0.43
WikiEvent,0.5,0,15,26,WikiEvent.java,0.62,0.29
WikiEventManager,0.44,0.3,29,66,WikiEventManager.java,0.43,0.38
WikiEventUtils,0.57,0.44,19,21,WikiEventUtils.java,0.52,0.82
WikiPageEvent,0.38,0.23,43,46,WikiPageEvent.java,0.33,0.32
WikiPageRenameEvent,0.41,0,7,9,WikiPageRenameEvent.java,0.44,0
WikiSecurityEvent,0.71,0.26,44,64,WikiSecurityEvent.java,0.5,0.2
WorkflowEvent,0.1,0.11,10,19,WorkflowEvent.java,0.16,0.11
DefaultFilterManager,0.69,0.61,39,117,DefaultFilterManager.java,0.79,0.96
PingWeblogsComFilter,0,0,7,23,PingWeblogsComFilter.java,0,0
ProfanityFilter,0.86,0.9,8,27,ProfanityFilter.java,0.82,1
SpamFilter,0,0,126,387,SpamFilter.java,0,0
FormClose,0,0,4,10,FormClose.java,0,0
FormInfo,0,0,19,32,FormInfo.java,0,0
FormInput,0,0,11,28,FormInput.java,0,0
FormOpen,0,0,13,39,FormOpen.java,0,0
FormOutput,0,0,13,41,FormOutput.java,0,0
FormSelect,0,0,27,63,FormSelect.java,0,0
FormSet,0,0,6,14,FormSet.java,0,0
FormTextarea,0,0,12,31,FormTextarea.java,0,0
ForgetNullValuesLinkedHashMap,1,1,3,4,ForgetNullValuesLinkedHashMap.java,1,1
WhitespaceTrimWriter,0.97,0.9,15,42,WhitespaceTrimWriter.java,0.95,0.83
XHtmlElementToWikiTranslator,0.84,0.76,196,478,XHtmlElementToWikiTranslator.java,0.9,0.86
XHtmlToWikiConfig,0.83,0.5,16,34,XHtmlToWikiConfig.java,0.71,0.67
InternationalizationManager,0.8,0.5,6,10,InternationalizationManager.java,0.8,0.8
SimpleMBean,0.41,0.5,26,101,SimpleMBean.java,0.46,0.52
ModuleManager,0.94,0.7,8,15,ModuleManager.java,0.93,0.88
WikiModuleInfo,0.47,0,20,45,WikiModuleInfo.java,0.47,0.25
CreoleToJSPWikiTranslator,0.98,0.9,50,188,CreoleToJSPWikiTranslator.java,0.96,0.86
JSPWikiMarkupParser,0.91,0.85,359,957,JSPWikiMarkupParser.java,0.93,0.9
LinkParser,0.76,0.59,28,59,LinkParser.java,0.68,0.78
LinkParsingOperations,0.9,0.78,28,39,LinkParsingOperations.java,0.8,0.81
MarkupParser,0.94,0.8,39,88,MarkupParser.java,0.95,0.92
PluginContent,0.68,0.6,25,87,PluginContent.java,0.74,0.8
VariableContent,0.5,0.5,8,20,VariableContent.java,0.75,0.56
AbstractReferralPlugin,0.78,0.77,48,136,AbstractReferralPlugin.java,0.83,0.92
BugReportHandler,0,0,24,77,BugReportHandler.java,0,0
Counter,1,1,8,24,Counter.java,1,0.9
CurrentTimePlugin,0,0,3,10,CurrentTimePlugin.java,0,0
DefaultPluginManager,0.61,0.67,46,175,DefaultPluginManager.java,0.63,0.63
Denounce,0,0,23,63,Denounce.java,0,0
Groups,1,1,5,19,Groups.java,1,1
IfPlugin,0.49,0.42,36,78,IfPlugin.java,0.55,0.44
Image,0,0,29,69,Image.java,0.01,0
IndexPlugin,0,0,15,54,IndexPlugin.java,0,0
InsertPage,0.72,0.66,14,62,InsertPage.java,0.76,0.65
ListLocksPlugin,0,0,5,27,ListLocksPlugin.java,0,0
